,ZZ_Series,Single_episodes,part_name,resolution,link
0,american_bimbo,american_bimbo_part_2_1080p.mp4,part_2,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/american_bimbo/zz_series_american_bimbo_part_2_1080p.mp4
1,a_brazzers_christmas_special,a_brazzers_christmas_special_part_1_1080p.mp4,part_1,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/a_brazzers_christmas_special/zz_series_a_brazzers_christmas_special_part_1_1080p.mp4
2,a_brazzers_christmas_special,a_brazzers_christmas_special_part_2_1080p.mp4,part_2,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/a_brazzers_christmas_special/zz_series_a_brazzers_christmas_special_part_2_1080p.mp4
3,a_brazzers_christmas_special,a_brazzers_christmas_special_part_3_1080p.mp4,part_3,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/a_brazzers_christmas_special/zz_series_a_brazzers_christmas_special_part_3_1080p.mp4
4,a_brazzers_christmas_special,a_brazzers_christmas_special_part_4_1080p.mp4,part_4,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/a_brazzers_christmas_special/zz_series_a_brazzers_christmas_special_part_4_1080p.mp4
5,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_1_720p.mp4,ep_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_1_720p.mp4
6,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_2_720p.mp4,ep_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_2_720p.mp4
7,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_3_720p.mp4,ep_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_3_720p.mp4
8,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_4_720p.mp4,ep_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_4_720p.mp4
9,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_5_720p.mp4,ep_5,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_5_720p.mp4
10,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_6_720p.mp4,ep_6,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_6_720p.mp4
11,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_7_720p.mp4,ep_7,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_7_720p.mp4
12,brazzers_worldwide_budapest,brazzers_worldwide_budapest_ep_8_720p.mp4,ep_8,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzers_worldwide_budapest/zz_series_brazzers_worldwide_budapest_ep_8_720p.mp4
13,brazzibots,brazzibots_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzibots/zz_series_brazzibots_part_2_720p.mp4
14,brazzibots,brazzibots_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzibots/zz_series_brazzibots_part_4_720p.mp4
15,brazzibots_uprising,brazzibots_uprising_part_1_720p.mp4,part_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzibots_uprising/zz_series_brazzibots_uprising_part_1_720p.mp4
16,brazzibots_uprising,brazzibots_uprising_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzibots_uprising/zz_series_brazzibots_uprising_part_2_720p.mp4
17,brazzibots_uprising,brazzibots_uprising_part_3_720p.mp4,part_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzibots_uprising/zz_series_brazzibots_uprising_part_3_720p.mp4
18,brazzibots_uprising,brazzibots_uprising_part_4_1080p.mp4,part_4,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/brazzibots_uprising/zz_series_brazzibots_uprising_part_4_1080p.mp4
19,day_of_debauchery,day_of_debauchery_part_1_1080p.mp4,part_1,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/day_of_debauchery/zz_series_day_of_debauchery_part_1_1080p.mp4
20,deadly_rain,deadly_rain_part_1_720p.mp4,part_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/deadly_rain/zz_series_deadly_rain_part_1_720p.mp4
21,deadly_rain,deadly_rain_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/deadly_rain/zz_series_deadly_rain_part_2_720p.mp4
22,deadly_rain,deadly_rain_part_3_720p.mp4,part_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/deadly_rain/zz_series_deadly_rain_part_3_720p.mp4
23,deadly_rain,deadly_rain_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/deadly_rain/zz_series_deadly_rain_part_4_720p.mp4
